sensor_type,device_type,timestamps,sin_from_avg_bedtime
sin_from_avg_bedtime,smartwatch,3.154255e+16,-0.454638124362895
sin_from_avg_bedtime,smartwatch,3.154258e+16,-0.45259938837920494
sin_from_avg_bedtime,smartwatch,3.154261e+16,-0.4505606523955148
sin_from_avg_bedtime,smartwatch,3.154264e+16,-0.4485219164118247
sin_from_avg_bedtime,smartwatch,3.154267e+16,-0.4464831804281346
sin_from_avg_bedtime,smartwatch,3.15427e+16,-0.4444444444444445
sin_from_avg_bedtime,smartwatch,3.154273e+16,-0.4424057084607544
sin_from_avg_bedtime,smartwatch,3.154276e+16,-0.44036697247706424
sin_from_avg_bedtime,smartwatch,3.154279e+16,-0.43832823649337416
sin_from_avg_bedtime,smartwatch,3.154282e+16,-0.436289500509684
sin_from_avg_bedtime,smartwatch,3.154285e+16,-0.4342507645259939
sin_from_avg_bedtime,smartwatch,3.154288e+16,-0.4322120285423038
sin_from_avg_bedtime,smartwatch,3.154291e+16,-0.4301732925586137
sin_from_avg_bedtime,smartwatch,3.154294e+16,-0.4281345565749236
sin_from_avg_bedtime,smartwatch,3.154297e+16,-0.42609582059123347
sin_from_avg_bedtime,smartwatch,3.1543e+16,-0.4240570846075434
sin_from_avg_bedtime,smartwatch,3.154303e+16,-0.42201834862385323
sin_from_avg_bedtime,smartwatch,3.154306e+16,-0.41997961264016315
sin_from_avg_bedtime,smartwatch,3.154309e+16,-0.417940876656473
sin_from_avg_bedtime,smartwatch,3.154312e+16,-0.4159021406727829
sin_from_avg_bedtime,smartwatch,3.154315e+16,-0.4138634046890928
sin_from_avg_bedtime,smartwatch,3.154318e+16,-0.4118246687054027
sin_from_avg_bedtime,smartwatch,3.154321e+16,-0.4097859327217126
sin_from_avg_bedtime,smartwatch,3.154324e+16,-0.40774719673802245
sin_from_avg_bedtime,smartwatch,3.154327e+16,-0.40570846075433237
sin_from_avg_bedtime,smartwatch,3.15433e+16,-0.4036697247706422
sin_from_avg_bedtime,smartwatch,3.154333e+16,-0.40163098878695214
sin_from_avg_bedtime,smartwatch,3.154336e+16,-0.399592252803262
sin_from_avg_bedtime,smartwatch,3.154339e+16,-0.3975535168195719
sin_from_avg_bedtime,smartwatch,3.154342e+16,-0.39551478083588176
sin_from_avg_bedtime,smartwatch,3.154345e+16,-0.3934760448521917
sin_from_avg_bedtime,smartwatch,3.154348e+16,-0.3914373088685016
sin_from_avg_bedtime,smartwatch,3.154351e+16,-0.38939857288481144
sin_from_avg_bedtime,smartwatch,3.154354e+16,-0.38735983690112136
sin_from_avg_bedtime,smartwatch,3.154357e+16,-0.3853211009174312
sin_from_avg_bedtime,smartwatch,3.15436e+16,-0.3832823649337411
sin_from_avg_bedtime,smartwatch,3.154363e+16,-0.381243628950051
sin_from_avg_bedtime,smartwatch,3.154366e+16,-0.3792048929663609
sin_from_avg_bedtime,smartwatch,3.154369e+16,-0.37716615698267075
sin_from_avg_bedtime,smartwatch,3.154372e+16,-0.37512742099898067
sin_from_avg_bedtime,smartwatch,3.154375e+16,-0.3730886850152905
sin_from_avg_bedtime,smartwatch,3.154378e+16,-0.37104994903160043
sin_from_avg_bedtime,smartwatch,3.154381e+16,-0.36901121304791035
sin_from_avg_bedtime,smartwatch,3.154384e+16,-0.3669724770642202
sin_from_avg_bedtime,smartwatch,3.154387e+16,-0.3649337410805301
sin_from_avg_bedtime,smartwatch,3.15439e+16,-0.36289500509684
sin_from_avg_bedtime,smartwatch,3.154393e+16,-0.3608562691131499
sin_from_avg_bedtime,smartwatch,3.154396e+16,-0.35881753312945974
sin_from_avg_bedtime,smartwatch,3.154399e+16,-0.35677879714576965
sin_from_avg_bedtime,smartwatch,3.154402e+16,-0.3547400611620795
sin_from_avg_bedtime,smartwatch,3.154405e+16,-0.3527013251783894
sin_from_avg_bedtime,smartwatch,3.154408e+16,-0.35066258919469934
sin_from_avg_bedtime,smartwatch,3.154411e+16,-0.3486238532110092
sin_from_avg_bedtime,smartwatch,3.154414e+16,-0.3465851172273191
sin_from_avg_bedtime,smartwatch,3.154417e+16,-0.34454638124362896
sin_from_avg_bedtime,smartwatch,3.15442e+16,-0.3425076452599389
sin_from_avg_bedtime,smartwatch,3.154423e+16,-0.34046890927624873
sin_from_avg_bedtime,smartwatch,3.154426e+16,-0.33843017329255864
sin_from_avg_bedtime,smartwatch,3.154429e+16,-0.3363914373088685
sin_from_avg_bedtime,smartwatch,3.154432e+16,-0.3343527013251784
sin_from_avg_bedtime,smartwatch,3.154435e+16,-0.3323139653414883
sin_from_avg_bedtime,smartwatch,3.154438e+16,-0.3302752293577982
sin_from_avg_bedtime,smartwatch,3.154441e+16,-0.3282364933741081
sin_from_avg_bedtime,smartwatch,3.154444e+16,-0.32619775739041795
sin_from_avg_bedtime,smartwatch,3.154447e+16,-0.32415902140672787
sin_from_avg_bedtime,smartwatch,3.15445e+16,-0.3221202854230377
sin_from_avg_bedtime,smartwatch,3.154453e+16,-0.32008154943934763
sin_from_avg_bedtime,smartwatch,3.154456e+16,-0.3180428134556575
sin_from_avg_bedtime,smartwatch,3.154459e+16,-0.3160040774719674
sin_from_avg_bedtime,smartwatch,3.154462e+16,-0.3139653414882773
sin_from_avg_bedtime,smartwatch,3.154465e+16,-0.3119266055045872
sin_from_avg_bedtime,smartwatch,3.154468e+16,-0.3098878695208971
sin_from_avg_bedtime,smartwatch,3.154471e+16,-0.30784913353720694
sin_from_avg_bedtime,smartwatch,3.154474e+16,-0.30581039755351686
sin_from_avg_bedtime,smartwatch,3.154477e+16,-0.3037716615698267
sin_from_avg_bedtime,smartwatch,3.15448e+16,-0.3017329255861366
sin_from_avg_bedtime,smartwatch,3.154483e+16,-0.2996941896024465
sin_from_avg_bedtime,smartwatch,3.154486e+16,-0.2976554536187564
sin_from_avg_bedtime,smartwatch,3.154489e+16,-0.2956167176350663
sin_from_avg_bedtime,smartwatch,3.154492e+16,-0.29357798165137616
sin_from_avg_bedtime,smartwatch,3.154495e+16,-0.2915392456676861
sin_from_avg_bedtime,smartwatch,3.154498e+16,-0.28950050968399593
sin_from_avg_bedtime,smartwatch,3.154501e+16,-0.28746177370030584
sin_from_avg_bedtime,smartwatch,3.154504e+16,-0.2854230377166157
sin_from_avg_bedtime,smartwatch,3.154507e+16,-0.2833843017329256
sin_from_avg_bedtime,smartwatch,3.15451e+16,-0.28134556574923547
sin_from_avg_bedtime,smartwatch,3.154513e+16,-0.2793068297655454
sin_from_avg_bedtime,smartwatch,3.154516e+16,-0.2772680937818553
sin_from_avg_bedtime,smartwatch,3.154519e+16,-0.27522935779816515
sin_from_avg_bedtime,smartwatch,3.154522e+16,-0.27319062181447507
sin_from_avg_bedtime,smartwatch,3.154525e+16,-0.2711518858307849
sin_from_avg_bedtime,smartwatch,3.154528e+16,-0.26911314984709483
sin_from_avg_bedtime,smartwatch,3.154531e+16,-0.2670744138634047
sin_from_avg_bedtime,smartwatch,3.154534e+16,-0.2650356778797146
sin_from_avg_bedtime,smartwatch,3.154537e+16,-0.26299694189602446
sin_from_avg_bedtime,smartwatch,3.15454e+16,-0.2609582059123344
sin_from_avg_bedtime,smartwatch,3.154543e+16,-0.2589194699286443
sin_from_avg_bedtime,smartwatch,3.154546e+16,-0.25688073394495414
sin_from_avg_bedtime,smartwatch,3.154549e+16,-0.25484199796126406
sin_from_avg_bedtime,smartwatch,3.154552e+16,-0.2528032619775739
sin_from_avg_bedtime,smartwatch,3.154555e+16,-0.2507645259938838
sin_from_avg_bedtime,smartwatch,3.154558e+16,-0.2487257900101937
sin_from_avg_bedtime,smartwatch,3.154561e+16,-0.2466870540265036
sin_from_avg_bedtime,smartwatch,3.154564e+16,-0.24464831804281348
sin_from_avg_bedtime,smartwatch,3.154567e+16,-0.24260958205912336
sin_from_avg_bedtime,smartwatch,3.15457e+16,-0.24057084607543325
sin_from_avg_bedtime,smartwatch,3.154573e+16,-0.23853211009174313
sin_from_avg_bedtime,smartwatch,3.154576e+16,-0.23649337410805302
sin_from_avg_bedtime,smartwatch,3.154579e+16,-0.2344546381243629
sin_from_avg_bedtime,smartwatch,3.154582e+16,-0.23241590214067281
sin_from_avg_bedtime,smartwatch,3.154585e+16,-0.2303771661569827
sin_from_avg_bedtime,smartwatch,3.154588e+16,-0.22833843017329258
sin_from_avg_bedtime,smartwatch,3.154591e+16,-0.22629969418960247
sin_from_avg_bedtime,smartwatch,3.154594e+16,-0.22426095820591235
sin_from_avg_bedtime,smartwatch,3.154597e+16,-0.22222222222222224
sin_from_avg_bedtime,smartwatch,3.1546e+16,-0.22018348623853212
sin_from_avg_bedtime,smartwatch,3.154603e+16,-0.218144750254842
sin_from_avg_bedtime,smartwatch,3.154606e+16,-0.2161060142711519
sin_from_avg_bedtime,smartwatch,3.154609e+16,-0.2140672782874618
sin_from_avg_bedtime,smartwatch,3.154612e+16,-0.2120285423037717
sin_from_avg_bedtime,smartwatch,3.154615e+16,-0.20998980632008157
sin_from_avg_bedtime,smartwatch,3.154618e+16,-0.20795107033639146
sin_from_avg_bedtime,smartwatch,3.154621e+16,-0.20591233435270134
sin_from_avg_bedtime,smartwatch,3.154624e+16,-0.20387359836901123
sin_from_avg_bedtime,smartwatch,3.154627e+16,-0.2018348623853211
sin_from_avg_bedtime,smartwatch,3.15463e+16,-0.199796126401631
sin_from_avg_bedtime,smartwatch,3.154633e+16,-0.19775739041794088
sin_from_avg_bedtime,smartwatch,3.154636e+16,-0.1957186544342508
sin_from_avg_bedtime,smartwatch,3.154639e+16,-0.19367991845056068
sin_from_avg_bedtime,smartwatch,3.154642e+16,-0.19164118246687056
sin_from_avg_bedtime,smartwatch,3.154645e+16,-0.18960244648318045
sin_from_avg_bedtime,smartwatch,3.154648e+16,-0.18756371049949033
sin_from_avg_bedtime,smartwatch,3.154651e+16,-0.18552497451580022
sin_from_avg_bedtime,smartwatch,3.154654e+16,-0.1834862385321101
sin_from_avg_bedtime,smartwatch,3.154657e+16,-0.18144750254842
sin_from_avg_bedtime,smartwatch,3.15466e+16,-0.17940876656472987
sin_from_avg_bedtime,smartwatch,3.154663e+16,-0.17737003058103976
sin_from_avg_bedtime,smartwatch,3.154666e+16,-0.17533129459734967
sin_from_avg_bedtime,smartwatch,3.154669e+16,-0.17329255861365955
sin_from_avg_bedtime,smartwatch,3.154672e+16,-0.17125382262996944
sin_from_avg_bedtime,smartwatch,3.154675e+16,-0.16921508664627932
sin_from_avg_bedtime,smartwatch,3.154678e+16,-0.1671763506625892
sin_from_avg_bedtime,smartwatch,3.154681e+16,-0.1651376146788991
sin_from_avg_bedtime,smartwatch,3.154684e+16,-0.16309887869520898
sin_from_avg_bedtime,smartwatch,3.154687e+16,-0.16106014271151886
sin_from_avg_bedtime,smartwatch,3.15469e+16,-0.15902140672782875
sin_from_avg_bedtime,smartwatch,3.154693e+16,-0.15698267074413866
sin_from_avg_bedtime,smartwatch,3.154696e+16,-0.15494393476044854
sin_from_avg_bedtime,smartwatch,3.154699e+16,-0.15290519877675843
sin_from_avg_bedtime,smartwatch,3.154702e+16,-0.1508664627930683
sin_from_avg_bedtime,smartwatch,3.154705e+16,-0.1488277268093782
sin_from_avg_bedtime,smartwatch,3.154708e+16,-0.14678899082568808
sin_from_avg_bedtime,smartwatch,3.154711e+16,-0.14475025484199797
